iter	Passed	Remaining
1095	6073	21635
1096	6077	21624
1097	6082	21616
1098	6086	21604
1099	6095	21611
1100	6100	21604
1101	6105	21595
1102	6118	21616
1103	6123	21609
1104	6128	21603
1105	6133	21594
1106	6138	21585
1107	6143	21580
1108	6147	21567
1109	6151	21556
1110	6155	21548
1111	6162	21547
1112	6171	21554
1113	6175	21541
1114	6178	21527
1115	6186	21530
1116	6190	21518
1117	6193	21506
1118	6197	21493
1119	6203	21489
1120	6209	21486
1121	6213	21475
1122	6217	21464
1123	6221	21454
1124	6234	21475
1125	6243	21481
1126	6249	21477
1127	6254	21468
1128	6258	21458
1129	6262	21448
1130	6266	21437
1131	6270	21427
1132	6278	21428
1133	6282	21417
1134	6287	21409
1135	6295	21414
1136	6300	21404
1137	6305	21399
1138	6310	21391
1139	6320	21401
1140	6328	21404
1141	6334	21399
1142	6338	21388
1143	6343	21381
1144	6352	21388
1145	6357	21380
1146	6369	21396
1147	6375	21392
1148	6380	21384
1149	6385	21378
1150	6390	21371
1151	6394	21358
1152	6398	21348
1153	6403	21339
1154	6407	21330
1155	6412	21322
1156	6417	21314
1157	6427	21325
1158	6431	21314
1159	6435	21303
1160	6442	21303
1161	6449	21302
1162	6458	21309
1163	6465	21307
1164	6475	21315
1165	6480	21307
1166	6485	21300
1167	6493	21304
1168	6499	21298
1169	6506	21299
1170	6510	21289
1171	6516	21283
1172	6521	21276
1173	6526	21270
1174	6530	21259
1175	6539	21264
1176	6543	21255
1177	6548	21247
1178	6555	21244
1179	6559	21234
1180	6565	21230
1181	6569	21219
1182	6573	21210
1183	6578	21202
1184	6582	21190
1185	6586	21182
1186	6591	21174
1187	6596	21167
1188	6606	21174
1189	6609	21162
1190	6613	21150
1191	6618	21145
1192	6625	21143
1193	6630	21135
1194	6634	21124
1195	6639	21116
1196	6650	21130
1197	6655	21120
1198	6664	21127
1199	6668	21117
1200	6672	21105
1201	6677	21099
1202	6681	21089
1203	6687	21084
1204	6695	21087
1205	6700	21078
1206	6704	21069
1207	6712	21071
1208	6717	21065
1209	6722	21056
1210	6727	21050
1211	6731	21039
1212	6735	21029
1213	6739	21018
1214	6750	21029
1215	6755	21020
1216	6761	21018
1217	6765	21006
1218	6774	21013
1219	6778	21003
1220	6792	21023
1221	6796	21011
1222	6807	21022
1223	6811	21011
1224	6814	20999
1225	6818	20989
1226	6823	20980
1227	6829	20978
1228	6834	20969
1229	6838	20959
1230	6843	20954
1231	6850	20952
1232	6855	20944
1233	6861	20940
1234	6866	20934
1235	6870	20923
1236	6880	20930
1237	6884	20920
1238	6893	20924
1239	6897	20915
1240	6902	20906
1241	6906	20896
1242	6910	20887
1243	6917	20887
1244	6923	20882
1245	6927	20871
1246	6931	20861
1247	6935	20849
1248	6940	20844
1249	6947	20842
1250	6951	20830
1251	6962	20843
1252	6966	20832
1253	6971	20824
1254	6977	20820
1255	6982	20812
1256	6990	20815
1257	6995	20808
1258	6999	20798
1259	7003	20787
1260	7012	20793
1261	7017	20785
1262	7022	20777
1263	7027	20770
1264	7030	20758
1265	7034	20748
1266	7041	20747
1267	7044	20734
1268	7051	20730
1269	7056	20725
1270	7060	20714
1271	7068	20715
1272	7071	20704
1273	7075	20692
1274	7084	20697
1275	7087	20686
1276	7091	20675
1277	7100	20679
1278	7106	20675
1279	7109	20663
1280	7115	20658
1281	7120	20650
1282	7124	20639
1283	7128	20631
1284	7132	20619
1285	7141	20625
1286	7145	20614
1287	7165	20650
1288	7168	20638
1289	7172	20628
1290	7175	20616
1291	7187	20626
1292	7191	20618
1293	7199	20619
1294	7204	20612
1295	7217	20628
1296	7222	20620
1297	7226	20611
1298	7231	20604
1299	7240	20608
1300	7245	20601
1301	7249	20589
1302	7258	20593
1303	7262	20584
1304	7268	20580
1305	7272	20570
1306	7278	20566
1307	7290	20578
1308	7294	20569
1309	7301	20567
1310	7305	20556
1311	7309	20548
1312	7314	20539
1313	7318	20528
1314	7323	20523
1315	7328	20514
1316	7332	20504
1317	7337	20498
1318	7341	20488
1319	7345	20478
1320	7349	20468
1321	7360	20477
1322	7365	20471
1323	7371	20466
1324	7380	20470
1325	7385	20462
1326	7395	20469
1327	7399	20459
1328	7403	20450
1329	7407	20439
1330	7411	20430
1331	7415	20421
1332	7421	20415
1333	7426	20410
1334	7430	20398
1335	7435	20392
1336	7442	20390
1337	7453	20400
1338	7459	20395
1339	7469	20402
1340	7477	20402
1341	7481	20391
1342	7485	20383
1343	7489	20373
1344	7494	20366
1345	7504	20371
1346	7508	20364
1347	7514	20357
1348	7522	20358
1349	7527	20351
1350	7536	20356
1351	7541	20347
1352	7545	20339
1353	7551	20333
1354	7554	20322
1355	7560	20317
1356	7568	20318
1357	7573	20309
1358	7578	20305
1359	7585	20302
1360	7590	20295
1361	7595	20287
1362	7599	20278
1363	7606	20277
1364	7610	20268
1365	7617	20265
1366	7624	20264
1367	7628	20254
1368	7633	20246
1369	7638	20239
1370	7643	20233
1371	7647	20223
1372	7652	20214
1373	7658	20210
1374	7663	20203
1375	7667	20193
1376	7680	20209
1377	7685	20200
1378	7694	20205
1379	7700	20199
1380	7707	20197
1381	7714	20196
1382	7717	20184
1383	7721	20173
1384	7725	20163
1385	7728	20152
1386	7733	20146
1387	7739	20140
1388	7743	20130
1389	7747	20121
1390	7752	20113
1391	7759	20111
1392	7764	20104
1393	7769	20097
1394	7781	20108
1395	7785	20100
1396	7798	20112
1397	7803	20105
1398	7814	20113
1399	7820	20110
1400	7824	20101
1401	7835	20109
1402	7839	20099
1403	7845	20093
1404	7849	20083
1405	7853	20074
1406	7858	20068
1407	7864	20062
1408	7869	20057
1409	7877	20057
1410	7882	20050
1411	7890	20049
1412	7894	20041
1413	7898	20032
1414	7902	20022
1415	7913	20029
1416	7917	20019
1417	7923	20014
1418	7930	20012
1419	7936	20009
1420	7942	20003
1421	7947	19997
1422	7954	19994
1423	7957	19982
1424	7962	19975
1425	7967	19968
1426	7972	19961
1427	7977	19955
1428	7982	19947
1429	7986	19937
1430	7991	19931
1431	7998	19929
1432	8003	19921
1433	8007	19912
1434	8011	19902
1435	8016	19895
1436	8020	19885
1437	8027	19884
1438	8032	19877
1439	8035	19865
1440	8038	19853
1441	8042	19843
1442	8050	19844
1443	8055	19836
1444	8059	19828
1445	8066	19826
1446	8070	19816
1447	8074	19808
1448	8079	19800
1449	8086	19797
1450	8090	19788
1451	8095	19781
1452	8100	19773
1453	8103	19763
1454	8108	19756
1455	8111	19745
1456	8116	19736
1457	8121	19729
1458	8126	19722
1459	8130	19712
1460	8136	19708
1461	8146	19715
1462	8151	19707
1463	8155	19697
1464	8160	19690
1465	8168	19690
1466	8173	19683
1467	8177	19675
1468	8187	19680
1469	8192	19673
1470	8200	19672
1471	8208	19674
1472	8212	19664
1473	8216	19655
1474	8221	19647
1475	8226	19641
1476	8231	19634
1477	8235	19625
1478	8250	19641
1479	8255	19635
1480	8266	19640
1481	8272	19637
1482	8278	19632
1483	8282	19623
1484	8289	19621
1485	8296	19620
1486	8310	19633
1487	8314	19623
1488	8320	19618
1489	8327	19616
1490	8340	19628
1491	8345	19621
1492	8350	19614
1493	8355	19607
1494	8359	19598
1495	8367	19599
1496	8375	19598
1497	8381	19594
1498	8391	19599
1499	8399	19599
1500	8407	19597
1501	8411	19590
1502	8418	19587
1503	8423	19580
1504	8433	19585
1505	8438	19578
1506	8443	19571
1507	8466	19606
1508	8477	19613
1509	8484	19610
1510	8494	19613
1511	8499	19607
1512	8506	19603
1513	8510	19595
1514	8515	19588
1515	8524	19589
1516	8533	19592
1517	8543	19597
1518	8547	19587
1519	8555	19588
1520	8562	19586
1521	8570	19584
1522	8576	19581
1523	8581	19573
1524	8589	19572
1525	8594	19565
1526	8599	19558
1527	8604	19550
1528	8609	19544
1529	8624	19561
1530	8630	19554
1531	8636	19551
1532	8644	19550
1533	8649	19542
