iter	RMSE
395	44770.46124
396	44762.60196
397	44757.80287
398	44751.75296
399	44742.82185
400	44738.24397
401	44737.20071
402	44727.37482
403	44719.69715
404	44711.67025
405	44710.29245
406	44702.23158
407	44698.13666
408	44694.45446
409	44685.34959
410	44670.97703
411	44666.25942
412	44665.92213
413	44664.38868
414	44657.91363
415	44652.76732
416	44649.72323
417	44641.43309
418	44638.5622
419	44620.61148
420	44609.11267
421	44603.3676
422	44594.81655
423	44587.98704
424	44581.73614
425	44573.72933
426	44565.86715
427	44555.62988
428	44555.05835
429	44545.40663
430	44545.11026
431	44532.67497
432	44523.02363
433	44512.39215
434	44503.74245
435	44500.99066
436	44494.70005
437	44493.28817
438	44491.29648
439	44487.99862
440	44486.03424
441	44485.52725
442	44481.76165
443	44479.80608
444	44471.04304
445	44456.74032
446	44446.15189
447	44442.551
448	44440.42572
449	44433.48289
450	44423.7504
451	44420.04209
452	44412.39659
453	44410.56028
454	44392.20941
455	44388.78141
456	44378.67208
457	44364.65514
458	44357.96437
459	44356.42796
460	44349.33364
461	44348.11729
462	44341.87979
463	44329.60548
464	44328.78836
465	44326.77634
466	44325.57994
467	44324.34495
468	44320.1161
469	44311.5594
470	44305.67992
471	44296.55466
472	44290.49519
473	44283.38169
474	44280.64942
475	44276.83518
476	44274.29634
477	44270.22181
478	44263.67179
479	44258.77001
480	44250.65996
481	44239.49798
482	44219.51558
483	44216.39422
484	44211.19931
485	44202.38256
486	44197.72874
487	44190.98434
488	44181.10683
489	44178.10488
490	44167.7267
491	44158.24092
492	44153.21378
493	44142.38719
494	44139.07552
495	44135.51785
496	44123.50402
497	44116.42037
498	44099.67278
499	44098.55001
500	44093.33687
501	44083.86163
502	44083.09453
503	44080.1579
504	44076.62192
505	44053.24834
506	44045.00219
507	44040.88822
508	44029.15636
509	44028.05859
510	44025.52934
511	44022.50838
512	44019.61012
513	44009.83445
514	44006.58074
515	43996.9148
516	43991.88238
517	43976.19012
518	43966.55579
519	43964.14158
520	43962.32019
521	43958.25004
522	43942.23801
523	43940.72567
524	43938.45003
525	43929.6083
526	43922.65081
527	43917.44841
528	43907.41705
529	43901.4924
530	43899.90802
531	43896.32152
532	43892.40902
533	43891.78168
534	43890.12315
535	43889.56461
536	43881.29255
537	43880.92286
538	43873.1388
539	43863.34383
540	43860.82044
541	43850.88041
542	43848.2527
543	43842.72257
544	43829.1516
545	43820.73234
546	43814.20567
547	43809.0948
548	43805.33409
549	43799.67186
550	43791.7462
551	43784.4569
552	43782.34316
553	43782.03655
554	43775.66566
555	43772.82705
556	43764.082
